"country","year_week","count_deaths","r_deaths","R_epiestim_deaths","count_cases","r_cases","R_epiestim_cases","R_deaths","R_cases"
"South Korea","2020-32",4,0.0990210257942779,1.29343678462116,237,0.0145834465876114,1.23261424341024,1.77889778217829,1.09761205711025
"South Korea","2020-33",0,-Inf,0.603984106521651,889,0.18886244205411,2.25753549832087,NA,2.74052253635215
"South Korea","2020-34",4,Inf,2.67802671471053,2150,0.126160840801115,1.78526032154841,NA,2.04245646252574
"South Korea","2020-35",15,0.188822262854617,2.08950623126938,2282,0.0085120584714732,1.11314532450763,2.74003397272538,1.05629115400756
"South Korea","2020-36",12,-0.0318776501877442,1.21281674932373,1349,-0.0750983820306093,0.726207754886026,0.805925316740934,0.58296481680827
"South Korea","2020-37",27,0.11584717374519,1.51064907892619,989,-0.0443463606550063,0.712785255349152,1.939631187748,0.736976941517314
"South Korea","2020-38",22,-0.0292563446637162,1.00507993935264,760,-0.0376251283346193,0.759963491163805,0.820910578053213,0.773666975135542
"South Korea","2020-39",21,-0.0066457165192704,0.944346223333504,616,-0.0300102099638367,0.801570355365319,0.957390385027539,0.816583354855703
"South Korea","2020-40",16,-0.0388476736405203,0.831979632957548,503,-0.0289509704905401,0.843695637313563,0.766910735066401,0.822667488508822
"South Korea","2020-41",11,-0.0535276356344872,0.78005810340053,539,0.00987505725846542,1.00000158022924,0.688636272998584,1.06548181050081
"South Korea","2020-42",11,0,0.970730492585582,572,0.00848906006725726,1.06585822665748,1.0000087081713,1.0561365008452
"South Korea","2020-43",13,0.0238648692375952,1.10608911500261,680,0.0247076866843363,1.13871943310969,1.16269632152931,1.16872211577491
"South Korea","2020-44",11,-0.0238648692375952,0.979875437188859,777,0.0190496503139279,1.12261882459595,0.852273724445563,1.12863972626311
"South Korea","2020-45",12,0.0124301967128042,1.08311418259036,821,0.00786896558354011,1.12295869440573,1.08284457339324,1.05197196795933
"South Korea","2020-46",14,0.0220215256896083,1.15129386862729,1216,0.0561141361533834,1.3970015849807,1.14958456540103,1.40728006183081
"South Korea","2020-47",15,0.00985612449813592,1.11995741057984,2235,0.0869534920745081,1.55394787948188,1.06535380852762,1.66889485238367
"South Korea","2020-48",17,0.0178804489934294,1.16800257145039,3197,0.0511388060017389,1.37285133113111,1.12046507350729,1.36764474886826
"South Korea","2020-49",23,0.0431829816961334,1.33533868173308,3960,0.0305758793126692,1.25620330702505,1.30572060943913,1.21121545337064
"South Korea","2020-50",38,0.0717274205424623,1.72525445813154,5323,0.0422561469891759,1.28517892268898,1.53626763884047,1.29862226501557
"South Korea","2020-51",111,0.153134863083707,1.85518822174376,7107,0.0412918799505911,1.24011941851089,2.32718541336833,1.29126273935203
"South Korea","2020-52",121,0.0123229063263438,1.25180134194221,7089,-0.000362275281696804,1.04455113436078,1.08211200041182,0.997655698916535
"South Korea","2020-53",162,0.0416865413765204,1.21954543373203,6584,-0.0105574033568731,0.933801293664068,1.29427175187615,0.932842373573281
"South Korea","2021-01",159,-0.00267030471602179,1.01715978345543,4850,-0.0436662512036253,0.795439711987505,0.982745628844507,0.740639209901891
"South Korea","2021-02",124,-0.0355175195164564,0.845010700922447,3615,-0.0419838356198091,0.758919700564863,0.785401062564608,0.74974728583422
"South Korea","2021-03",96,-0.0365619105910287,0.785715434531764,2792,-0.0369048101015146,0.797263404211924,0.779572699576342,0.77766498680369
"South Korea","2021-04",65,-0.0557087030817427,0.722242144209029,2987,0.00964447919054954,0.962943757749698,0.677451297578122,1.06392355211663
"South Korea","2021-05",49,-0.0403667102550015,0.77460972398352,2677,-0.0156532535279653,0.939951429484578,0.758567249305385,0.901455249105837
"South Korea","2021-06",53,0.0112102307773565,0.940684724454866,2684,0.000373064938745707,1.01502365959858,1.07453286581883,1.00243539857127
"South Korea","2021-07",35,-0.0592776931518155,0.810806175849481,3455,0.0360734625871711,1.12438701273958,0.659393872380278,1.25188415552625
"South Korea","2021-08",43,0.0294074363148784,1.02959835683098,2705,-0.034960077845884,0.905616508733137,1.20267915626096,0.788522995753526
"South Korea","2021-09",37,-0.0214688861499054,0.936546581971194,2788,0.0043175115142618,0.993212697816386,0.866446859760366,1.02831711686555
"South Korea","2021-10",33,-0.0163443358825349,0.887195055014355,3200,0.0196894738439148,1.07761042346657,0.897249956211314,1.13312879403954
"South Korea","2021-11",22,-0.0579235868725949,0.802845084657907,3058,-0.00648424318554434,0.997900800055937,0.666209291278985,0.958412246913824
"South Korea","2021-12",29,0.0394647680897369,1.06162280697669,3066,0.000373238991821681,1.01789059798384,1.27738896589191,1.00243653159443
"South Korea","2021-13",22,-0.0394647680897369,0.896980608048924,3611,0.0233729945493855,1.12906870595584,0.763514426241367,1.15918856217052
"South Korea","2021-14",22,0,1.01689491174679,4394,0.0280364616667283,1.1549657702333,1.0000087081713,1.19271100992427
"South Korea","2021-15",31,0.0489921073038329,1.15467733180092,4500,0.00340534611626508,1.0590480665872,1.35076015647426,1.0222954251955
"South Korea","2021-16",16,-0.0944854974636236,0.736425505916036,4741,0.00745295530624389,1.03058356615634,0.497161331592385,1.04918378632147
"South Korea","2021-17",17,0.00866066025949069,1.07251184607946,4341,-0.0125919068003607,0.951498563497483,1.0572907685174,0.920231060044126
"South Korea","2021-18",41,0.12576553180687,1.53644133169078,4044,-0.0101243478798902,0.956963901472278,2.03845437397017,0.935540545283726
"South Korea","2021-19",28,-0.0544810795041577,0.925595568732635,4518,0.0158335881267981,1.04150219414093,0.683732790842669,1.10624291743898
"South Korea","2021-20",31,0.0145403849014203,0.992559474670017,4177,-0.0112108760758247,0.963249640318829,1.09731551142209,0.928780046986389
"South Korea","2021-21",25,-0.0307301970881351,0.862879744302286,3873,-0.0107948407117747,0.956361239637771,0.812463860467583,0.931365064779791
"South Korea","2021-22",15,-0.0729750891094273,0.716083088638572,4297,0.0148411006086061,1.02690990778081,0.592883123642287,1.09938744025847
"South Korea","2021-23",14,-0.00985612449813592,0.888047984681616,3636,-0.0238618469253751,0.908283058122423,0.937214152882784,0.852291511078762
"South Korea","2021-24",16,0.0190759132320747,1.03831912108434,3233,-0.0167819539388481,0.930861447235877,1.12882377170431,0.894593332086186
"South Korea","2021-25",11,-0.0535276356344872,0.807234573903061,4066,0.0327498880661227,1.1410749171839,0.688636272998584,1.22719808512171
"Spain","2020-01",0,NA,NA,0,NA,NA,NA,NA
"Spain","2020-02",0,NA,NA,0,NA,NA,NA,NA
"Spain","2020-03",0,NA,NA,0,NA,NA,NA,NA
"Spain","2020-04",0,NA,NA,0,NA,NA,NA,NA
"Spain","2020-05",0,NA,NA,1,Inf,NA,NA,NA
"Spain","2020-06",0,NA,NA,1,0,NA,NA,1.0000087081713
"Spain","2020-07",0,NA,NA,0,-Inf,NA,NA,NA
"Spain","2020-08",0,NA,NA,0,NA,NA,NA,NA
"Spain","2020-09",0,NA,NA,134,Inf,NA,NA,NA
"Spain","2020-10",5,Inf,NA,1391,0.334276913138933,NA,NA,4.8813657257625
"Spain","2020-11",283,0.576572712172734,NA,9964,0.28127938349409,NA,10.3079092233113,4.01218898045033
"Spain","2020-12",1432,0.231625778553908,NA,29771,0.156365166846697,NA,3.29165779899524,2.36284100975226
"Spain","2020-13",4808,0.173029875527779,NA,54860,0.0873213885975211,NA,2.55217182602823,1.67218414028006
"Spain","2020-14",5890,0.0289964000615127,NA,46276,-0.0243087167632592,NA,1.19968516304475,0.849664138577714
"Spain","2020-15",4554,-0.0367500042888496,NA,32553,-0.0502505625514946,NA,0.77852588515933,0.7056565914612
"Spain","2020-16",3880,-0.0228815448580523,NA,20519,-0.06593117773351,NA,0.858072876875322,0.626536644506577
"Spain","2020-17",2338,-0.0723627557979008,NA,16100,-0.0346474305973133,NA,0.595762829164872,0.79027733796135
"Spain","2020-18",2238,-0.00624475045144902,NA,7635,-0.106582333331403,NA,0.959929091723386,0.447874297070691
"Spain","2020-19",1316,-0.0758551109980869,NA,8565,0.0164201704436411,NA,0.579455149733484,1.11030711553197
"Spain","2020-20",965,-0.0443177157923252,NA,3836,-0.114750567822127,NA,0.737130961296042,0.416393184532603
"Spain","2020-21",-875,NA,NA,3794,-0.0015727550726242,NA,NA,0.989818495485563
"Spain","2020-22",293,NA,NA,4238,0.0158100840476121,NA,NA,1.10608025987713
"Spain","2020-23",9,-0.497564004525835,NA,2079,-0.101743492995747,NA,0.000138452107413171,0.467204405842322
"Spain","2020-24",0,-Inf,NA,2392,0.0200346896017871,NA,NA,1.13555546383228
"Spain","2020-25",1188,Inf,NA,2395,0.000179056396356191,NA,NA,1.00117296728595
"Spain","2020-26",22,-0.569854863794896,NA,2466,0.00417345341132485,NA,1.13580257494308e-05,1.02736465061443
"Spain","2020-27",42,0.0923753092750075,NA,2819,0.0191121153414033,NA,1.71777847466137,1.12907749964138
"Spain","2020-28",18,-0.121042551483886,NA,4164,0.0557277055172496,NA,0.393114419079914,1.40417638844608
"Spain","2020-29",16,-0.0168261479509119,NA,8883,0.108237598147834,NA,0.894325318076699,1.86586977646729
"Spain","2020-30",12,-0.041097438921683,NA,13946,0.0644361987158936,NA,0.754573837528735,1.47515714864618
"Spain","2020-31",38,0.164668501419769,NA,18272,0.0385967292392544,NA,2.45604347596821,1.27083030549601
"Spain","2020-32",104,0.143829248487855,NA,25926,0.0499823561006073,NA,2.22634645389403,1.35853264306812
"Spain","2020-33",70,-0.0565565224417162,NA,36102,0.0473002770412027,NA,0.67313422190605,1.33754498595001
